customer_id,product_id,basket_date,basket_count
42366585,41475073,6/19/2019,2
35956841,43279538,6/19/2019,2
26139578,31715598,6/19/2019,3
3262253,47880260,6/19/2019,2
20056678,44747002,6/19/2019,2
32037116,33739394,6/19/2019,2
17565651,46000191,6/19/2019,2
42079380,46881033,6/19/2019,2
25533477,44752779,6/19/2019,2
10385144,41882886,6/19/2019,2
5216868,8670770,6/19/2019,6
9036689,33914921,6/19/2019,2
20265792,46026447,6/19/2019,2
34654104,3632762,6/19/2019,2
31159555,33218001,6/19/2019,2
31733002,5941180,6/18/2019,2
44025439,34631629,6/18/2019,2
1920107,46675683,6/18/2019,2
13374538,33276794,6/18/2019,2
12434467,7445901,6/18/2019,2
25371082,39475547,6/18/2019,2
2068361,42402177,6/18/2019,2
28204561,39058017,6/18/2019,3
44417560,43864701,6/18/2019,2
29215183,32356464,6/18/2019,2
11360880,47007182,6/18/2019,2
22068103,35420610,6/17/2019,2
6056954,42522846,6/17/2019,2
13535048,43812675,6/17/2019,2
28048336,48333960,6/17/2019,2
7950100,42478659,6/17/2019,2
8928341,1197926,6/17/2019,2
34368983,37145767,6/17/2019,2
11259103,37720451,6/17/2019,2
31493048,38221381,6/17/2019,2
43213385,4131698,6/17/2019,2
43352582,43357885,6/17/2019,2
2966006,33028204,6/17/2019,2
3779615,51605574,6/17/2019,2
31616251,50615765,6/17/2019,2
44416693,40276068,6/17/2019,2
2809135,6568127,6/17/2019,2
520652,46455283,6/17/2019,2
13418756,34366102,6/17/2019,2
16289848,40220752,6/17/2019,2
23460100,6844409,6/17/2019,2
40411726,2129027,6/17/2019,2
21159636,47608896,6/17/2019,2
12375065,38963117,6/17/2019,2
3343477,50416775,6/17/2019,2
43569820,47019441,6/17/2019,2
20861832,47122587,6/17/2019,2
42996398,31508759,6/18/2019,2
14792714,37621862,6/18/2019,2
11257276,47007182,6/17/2019,2
23878579,34944273,6/17/2019,2
11350951,44263141,6/17/2019,2
42823122,49953830,6/17/2019,2
15335022,31294046,6/17/2019,2
19138173,40276011,6/17/2019,2
28655652,49817430,6/17/2019,2
1599046,32556376,6/17/2019,2
27450196,35008370,6/17/2019,2
42541854,50041873,6/17/2019,2
2090140,48346739,6/17/2019,2
43043252,33712748,6/17/2019,2
8917417,1068944,6/17/2019,2
7751651,46500920,6/16/2019,3
23462918,6259159,6/16/2019,2
44095389,33875067,6/16/2019,2
44364979,32942036,6/16/2019,2
9912477,31299289,6/16/2019,2
25083717,31546667,6/16/2019,3
20362680,46858785,6/16/2019,2
40228358,42723219,6/16/2019,2
17922308,926270,6/16/2019,2
27641594,33506465,6/16/2019,3
4749863,33354168,6/16/2019,3
34508812,40276068,6/16/2019,2
44382631,43314126,6/16/2019,2
10095537,47933392,6/16/2019,2
9567372,51821712,6/17/2019,2
11344926,47057070,6/16/2019,2
1357108,43902407,6/16/2019,2
9116458,49693345,6/16/2019,2
2499367,1263722,6/16/2019,2
2153897,51042056,6/16/2019,2
16974894,339429,6/16/2019,2
10918767,3257032,6/16/2019,2
44363986,39024454,6/16/2019,2
27021765,3549934,6/16/2019,2
33060425,34927870,6/16/2019,2
29196935,43864288,6/16/2019,2
17572286,36308101,6/16/2019,2
14997362,31324877,6/16/2019,2
34658130,50350530,6/16/2019,2
40934891,2565792,6/16/2019,2
31480906,6102908,6/16/2019,2
18454467,50803208,6/16/2019,2
3846865,3125977,6/16/2019,2
1227904,43482185,6/16/2019,3
10458906,3714100,6/16/2019,2
1070869,46130148,6/16/2019,2
28037137,34981913,6/16/2019,2
20098151,35167685,6/16/2019,2
16049544,53560311,6/16/2019,2
12376998,50836009,6/16/2019,3
32756438,53035093,6/16/2019,2
3460147,50436075,6/16/2019,2
31600282,31780330,6/16/2019,2
15177298,2963490,6/16/2019,2
33513547,5995368,6/16/2019,2
5226041,46134461,6/16/2019,2
29697847,44767226,6/16/2019,2
943919,37215955,6/16/2019,2
29462763,35191492,6/16/2019,2
25752881,36481470,6/16/2019,2
10673417,86003,6/16/2019,2
10673417,39648211,6/16/2019,2
33650865,50462654,6/16/2019,2
10702365,49226769,6/16/2019,2
13483322,54592777,6/16/2019,2
14571889,32570198,6/15/2019,2
11222196,34642271,6/16/2019,2
2429391,31540074,6/16/2019,2
21354334,34081119,6/15/2019,2
11608660,47639646,6/15/2019,2
29816325,42244011,6/15/2019,3
14953708,49860049,6/15/2019,3
28758609,35545522,6/15/2019,2
43486119,44146315,6/15/2019,2
8842411,44471280,6/15/2019,2
2118687,38270608,6/15/2019,2
2118687,32586402,6/15/2019,2
38547897,32792042,6/15/2019,2
6527616,44267470,6/15/2019,2
13943634,31884711,6/15/2019,2
40802277,38950239,6/15/2019,2
42884718,34035848,6/15/2019,2
4810556,33781223,6/15/2019,2
26633229,33028936,6/15/2019,3
27507650,4915558,6/15/2019,3
10974747,2864832,6/15/2019,2
43594568,31614416,6/15/2019,2
13635398,5977588,6/15/2019,2
23424372,40455682,6/15/2019,2
4950885,46072637,6/15/2019,2
31041476,35810906,6/15/2019,2
6945297,37758603,6/15/2019,2
3492878,50116869,6/15/2019,2
10872901,39845663,6/15/2019,2
5932302,34859104,6/15/2019,2
4897641,34525548,6/15/2019,2
35960037,31541857,6/15/2019,3
6128936,46296421,6/15/2019,2
7463078,37356069,6/15/2019,2
3436696,26496209,6/15/2019,2
10233112,52238545,6/15/2019,2
2469408,42383131,6/15/2019,3
16158773,41883914,6/15/2019,2
924399,44767258,6/15/2019,2
11404710,51887498,6/15/2019,2
6677529,50231451,6/15/2019,2
36710547,458885,6/15/2019,2
38962029,51030750,6/15/2019,2
34042133,31125069,6/15/2019,2
39799296,42780162,6/15/2019,2
14491963,39684405,6/15/2019,2
10334216,34525502,6/15/2019,2
27659902,34689678,6/15/2019,2
17398974,34441398,6/16/2019,2
2256737,6538172,6/15/2019,2
1612736,4451125,6/15/2019,2
5984987,51034595,6/15/2019,2
11004573,50596116,6/15/2019,3
30996342,46364529,6/15/2019,2
36585170,41144281,6/15/2019,2
6075886,35109012,6/15/2019,2
26633229,43524799,6/15/2019,2
6371156,32251825,6/15/2019,2
12272,232285,6/15/2019,2
41608570,31720319,6/15/2019,2
42968094,6531200,6/14/2019,2
36115179,3213828,6/14/2019,2
39042643,39359897,6/14/2019,3
33869609,48964455,6/14/2019,2
1639831,3937199,6/14/2019,2
1049021,4795856,6/14/2019,2
30769451,43332848,6/14/2019,3
7906530,32418640,6/14/2019,2
15278569,42114320,6/14/2019,2
4697099,40736994,6/14/2019,2
19625674,48726494,6/14/2019,2
33878826,31978880,6/14/2019,2
1599524,44746811,6/14/2019,2
37373667,41727481,6/14/2019,2
11089130,53669665,6/14/2019,2
23713179,46692673,6/14/2019,3
7768276,35607765,6/14/2019,2
31276656,40594443,6/14/2019,2
21414215,52199862,6/14/2019,2
15741841,50891208,6/14/2019,2
16042702,40760526,6/14/2019,2
16048941,46167279,6/14/2019,2
15741841,48031618,6/14/2019,2
1547464,39827537,6/14/2019,2
31550010,41313598,6/14/2019,2
26788522,34407849,6/18/2019,2
30085572,51183379,6/18/2019,4
12857595,50601765,6/18/2019,2
21898560,40448251,6/18/2019,2
13372025,40204599,6/18/2019,2
12304334,41381269,6/18/2019,3
31638616,35505100,6/18/2019,2
14273568,43888529,6/18/2019,3
18146945,32282126,6/18/2019,2
24742239,49650994,6/18/2019,2
10416769,50059355,6/18/2019,2
1578791,31573900,6/18/2019,2
7782295,32613496,6/18/2019,4
15606177,3177325,6/18/2019,2
6948836,3058908,6/18/2019,3
22573283,39543957,6/18/2019,2
4130872,52403341,6/18/2019,2
34531043,48018509,6/18/2019,2
22963164,33109072,6/18/2019,2
7150976,47047732,6/18/2019,2
18506470,52924977,6/18/2019,2
39744737,40276077,6/18/2019,2
19061408,37078285,6/18/2019,2
34857404,38195391,6/18/2019,2
7653228,32242274,6/18/2019,2
20997659,49119444,6/18/2019,2
35334684,6194478,6/18/2019,2
16915612,37674279,6/18/2019,2
44415679,46280444,6/18/2019,2
19282386,55445659,6/18/2019,3
15367725,48051805,6/18/2019,2
15853025,6911634,6/18/2019,2
42839839,51881932,6/18/2019,2
20575244,51981259,6/18/2019,2
30656308,50390402,6/19/2019,2
5897414,46106748,6/19/2019,2
10437074,3735903,6/19/2019,3
30617300,32128322,6/19/2019,2
20517889,32229707,6/19/2019,2
17420231,31560347,6/18/2019,2
20380836,41771898,6/19/2019,2
6683186,34373617,6/19/2019,2
24464827,48631902,6/18/2019,2
13475802,44076001,6/18/2019,2
14735625,47108940,6/19/2019,2
20653843,32397777,6/18/2019,4
7130239,1069267,6/18/2019,2
17915586,46040537,6/18/2019,2
12273495,42887442,6/14/2019,2
6723024,44167642,6/14/2019,2
26115146,32099744,6/15/2019,2
23531841,50784707,6/14/2019,2
8571659,1069456,6/14/2019,2
853186,46876805,6/14/2019,2
44212229,2301364,6/15/2019,4
10113448,25458659,6/14/2019,2
5040972,31288872,6/14/2019,2
31498743,47891714,6/14/2019,2
33039898,49047266,6/13/2019,3
32774082,51840644,6/13/2019,2
10478837,44749980,6/13/2019,2
17020047,6938963,6/13/2019,2
11174575,33855676,6/13/2019,2
1036934,47365687,6/13/2019,2
27353728,33966228,6/13/2019,2
23893799,49267348,6/13/2019,2
23893799,51744192,6/13/2019,2
8707143,40946466,6/13/2019,2
29865301,46651068,6/13/2019,2
22691390,44289413,6/13/2019,2
41131037,48093124,6/13/2019,2
2222812,46264677,6/13/2019,2
8655171,1069969,6/13/2019,2
1838899,53610850,6/13/2019,2
16826822,46315448,6/13/2019,2
12359985,6362696,6/13/2019,2
9917254,35504415,6/13/2019,2
17674158,50147514,6/13/2019,3
30647820,38656612,6/13/2019,2
43233031,51304424,6/13/2019,3
13710368,2174680,6/13/2019,2
28588808,43518444,6/13/2019,2
29680005,46234841,6/13/2019,2
6707480,6687642,6/13/2019,2
25479094,36803109,6/13/2019,2
14393628,40275989,6/13/2019,2
11055739,52784074,6/13/2019,2
10753151,31928645,6/13/2019,2
20400518,48339717,6/13/2019,2
38367645,50935511,6/13/2019,2
9649603,75827,6/13/2019,2
26604896,34743697,6/13/2019,2
4130264,48498705,6/13/2019,2
35422870,41666127,6/13/2019,2
23401238,31544299,6/13/2019,2
1051979,33259863,6/13/2019,2
32676666,4359177,6/13/2019,2
10661854,2486022,6/13/2019,2
17936038,40302663,6/12/2019,2
25601143,33059472,6/13/2019,2
13216368,51821518,6/12/2019,2
5391782,40573366,6/12/2019,2
17010521,31074229,6/12/2019,2
34955959,33976946,6/12/2019,3
10465604,48660783,6/12/2019,2
43811620,45607225,6/12/2019,5
44028198,36287318,6/12/2019,4
24639135,34759897,6/12/2019,2
23809874,51257148,6/12/2019,2
10970628,35490500,6/12/2019,2
38387437,43893061,6/12/2019,2
34713662,46275901,6/12/2019,2
34548622,42617386,6/12/2019,2
11353053,33272213,6/12/2019,2
20654394,3373740,6/12/2019,2
3233686,51577916,6/12/2019,2
25707035,48161383,6/12/2019,2
21168306,37214422,6/12/2019,2
11313419,38272202,6/12/2019,2
33918182,34417305,6/12/2019,2
10609460,42366284,6/12/2019,2
40020822,35210234,6/12/2019,2
26432100,1290866,6/12/2019,2
32967274,43914080,6/12/2019,2
30649267,2584954,6/12/2019,2
18986938,41631706,6/12/2019,2
4946613,50614243,6/12/2019,2
17910202,2119554,6/12/2019,3
11328733,6071932,6/12/2019,2
1117990,42001725,6/12/2019,2
10044453,45995859,6/12/2019,2
17586951,47498750,6/11/2019,3
4232633,31264988,6/12/2019,2
14536264,31929332,6/11/2019,2
16083360,32062664,6/11/2019,2
43964413,49563351,6/12/2019,2
3799237,46882361,6/11/2019,2
24989857,31574046,6/11/2019,2
9905865,2389219,6/12/2019,2
37108659,33135320,6/11/2019,2
37003864,194476,6/11/2019,2
2693398,2037881,6/11/2019,3
13871654,52400203,6/12/2019,4
27338143,37119662,6/12/2019,2
6415039,1263668,6/12/2019,2
8309537,6057155,6/11/2019,2
35097013,44743774,6/11/2019,2
20703289,35606222,6/11/2019,2
8848196,37956563,6/11/2019,2
16415127,39271497,6/11/2019,2
2043297,39429530,6/11/2019,2
20653360,3373776,6/12/2019,2
1606255,31614873,6/11/2019,2
43800788,33455785,6/11/2019,2
14207427,42804748,6/11/2019,2
26640040,35628135,6/11/2019,3
12388090,52100301,6/11/2019,2
5836969,37635455,6/11/2019,2
13738776,47103092,6/11/2019,2
1256572,46223058,6/11/2019,2
18525838,36526014,6/11/2019,2
14542584,34325708,6/11/2019,2
20793903,36883703,6/11/2019,3
18852448,35714519,6/11/2019,2
15240260,42718843,6/11/2019,2
42126412,50144709,6/11/2019,3
4338804,32088797,6/11/2019,2
18923,39543957,6/11/2019,2
20888996,45867008,6/11/2019,2
5519703,37138687,6/11/2019,2
22153719,48170286,6/11/2019,2
25227328,47480321,6/11/2019,2
28451724,34758456,6/11/2019,2
5222234,44071680,6/11/2019,2
2194263,47629632,6/11/2019,2
23873565,43547553,6/11/2019,2
3817124,32785847,6/11/2019,2
4110592,31670163,6/11/2019,2
30386658,42204957,6/10/2019,2
10984058,36262723,6/10/2019,2
4251897,49635300,6/10/2019,4
37882313,75982,6/10/2019,2
